address,ald_15,commarea,geo_networ,governance,grade_cat,grades,lat,long,network,phone,school_id,short_name,ward_15,zip,g,COUNT
3737 S PAULINA ST,George A. Cardenas,MCKINLEY PARK,"8",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8256997599999991166441759560257,-87.6677240435000015850164345465600,Charter,1(773)715-9558,"400050",NAMASTE,"12","60609",17.2195,"111"
1010 N NOBLE ST,Bob Fioretti,WEST TOWN,"6",Charter,HS,"9, 10, 11, 12",41.9001905212000025358065613545477,-87.6626277822000048445261199958622,Charter,1(773)862-1449,"400051",NOBLE - NOBLE HS,"2","60642",17.0101,"114"
7131 SOUTH CHICAGO AVE,Leslie A. Hairston,GREATER GRAND CROSSING,"12",Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.7652522818000022652995539829135,-87.6041637454000010620802640914917,Charter,1(773)729-3969,"400052",NOBLE - COMER,"5","60619",18.1096,"56"
1454 W SUPERIOR ST,"Walter Burnett, Jr.",WEST TOWN,"6",Charter,HS,"9, 10, 11, 12",41.8952821940000035283446777611971,-87.6644829983000022366468328982592,Charter,1(312)265-9925,"400053",NOBLE - GOLDER HS,"27","60642",16.2881,"129"
4131 W CORTLAND AVE,Rey Colon,HERMOSA,"4",Charter,HS,"9, 10, 11, 12",41.9152141070999988414769177325070,-87.7301267147000061186190578155220,Charter,1(773)394-2848,"400054",NOBLE - PRITZKER HS,"35","60639",23.0387,"79"
1337 W OHIO ST,Proco (Joe) Moreno III,WEST TOWN,"6",Charter,HS,"9, 10, 11, 12",41.8924250127999968640324368607253,-87.6608588697999948635697364807129,Charter,1(312)226-5345,"400055",NOBLE - RAUNER HS,"1","60642",16.7845,"139"
3645 W CHICAGO AVE,"Walter Burnett, Jr.",HUMBOLDT PARK,"5",Charter,HS,"9, 10, 11, 12",41.8953622590999970043412758968771,-87.7180467677000024195876903831959,Charter,1(773)242-2212,"400056",NOBLE - ROWE CLARK HS,"27","60651",26.9393,"32"
1231 S DAMEN AVE,Jason C. Ervin,NEAR WEST SIDE,"6",Charter,HS,"9, 10, 11, 12",41.8658174135999985310263582505286,-87.6761109298000036460507544688880,Charter,1(312)768-4858,"400057",NOBLE - UIC HS,"28","60608",31.2546,"104"
1615 S. CHRISTIANA AVE.,Michael D. Chandler,NORTH LAWNDALE,"5",Charter,HS,"9, 10, 11, 12",41.8585635542000034092779969796538,-87.7089871112000025732413632795215,Charter,1(773)542-1490,"400058",NORTH LAWNDALE - CHRISTIANA HS,"24","60623",21.7495,"133"
1313 S SACRAMENTO DR,Michael D. Chandler,NORTH LAWNDALE,"5",Charter,HS,"8, 9, 10, 11, 12",41.8641458431999993194949638564140,-87.7006805999999983214365784078836,Charter,1(773)542-6766,"400059",NORTH LAWNDALE - COLLINS HS,"24","60623",34.0432,"74"
1643 W BRYN MAWR AVE,Patrick O'Connor,EDGEWATER,"2",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9833714363999987995157425757498,-87.6711604192999942597452900372446,Charter,1(773)433-3530,"400060",AHS - PASSAGES,"40","60660",26.0248,"97"
8131 S MAY ST,"Howard B. Brookins, Jr.",AUBURN GRESHAM,"11",Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.7459608318999997322862327564508,-87.6520450884000013047625543549657,Charter,1(773)358-6100,"400061",PERSPECTIVES - LEADERSHIP HS,"21","60620",23.0598,"75"
8131 S MAY ST,"Howard B. Brookins, Jr.",AUBURN GRESHAM,"11",Charter,HS,"9, 10, 11, 12",41.7459490195000029189031920395792,-87.6506570244000045022403355687857,Charter,1(773)358-6120,"400062",PERSPECTIVES - TECH HS,"21","60620",24.1884,"81"
1930 S ARCHER AVE,Patricia R. Dowell,NEAR SOUTH SIDE,"6",Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.8559991051999986666487529873848,-87.6285309006999995062869857065380,Charter,1(312)225-7400,"400064",PERSPECTIVES - JOSLIN HS,"3","60616",14.7385,"129"
3663 S WABASH AVE,Patricia R. Dowell,DOUGLAS,"9",Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.8277838575000018295213521923870,-87.6247877197999969212105497717857,Charter,1(773)358-6800,"400066",PERSPECTIVES - MATH & SCI HS,"3","60653",18.2208,"54"
5545 W HARRISON ST,Chris Taliaferro,AUSTIN,"3",Contract,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8727604286000030242576031014323,-87.7633369323000067652174038812518,Contract,1(773)413-3090 x111,"400068",PLATO,"29","60644",17.5551,"62"
620 N SAWYER AVE,"Walter Burnett, Jr.",HUMBOLDT PARK,"5",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8925501740000001404951035510749,-87.7077964748000056260934798046947,Charter,1(773)534-0820,"400069",POLARIS,"27","60624",27.0051,"74"
6515 S ASHLAND AVE,JoAnn Thompson,WEST ENGLEWOOD,"11",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7753673676999994768266333267093,-87.6639958295999974779988406226039,Charter,1(773)434-0202,"400071",PROVIDENCE ENGLEWOOD,"16","60636",15.3002,"55"
7823 S ELLIS AVE,Michelle A. Harris,GREATER GRAND CROSSING,"12",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7524584891000003494809789117426,-87.6002545532000027606045478023589,Charter,1(773)651-1221,"400072",SHABAZZ - SHABAZZ,"8","60619",28.4110,"69"
707 E 37TH ST,"William ""Will"" D. Burns",OAKLAND,"9",Charter,ES,"K, 1, 2, 3, 4, 5",41.8277260816999998382925696205348,-87.6085007808000000295578502118587,Charter,1(773)285-5301,"400075",U OF C - DONOGHUE,"4","60653",23.9914,"30"
1119 E 46TH ST,"William ""Will"" D. Burns",KENWOOD,"9",Charter,ES,"K, 1, 2, 3, 4, 5",41.8111828672999976674873323645443,-87.5987862684000049284804845228791,Charter,1(773)536-2399,"400076",U OF C - NKO,"4","60653",29.0551,"51"
6420 S UNIVERSITY AVE,Willie B. Cochran,WOODLAWN,"9",Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.7781296984000007910253771115094,-87.5981139193000046816450776532292,Charter,1(773)752-8101,"400077",U OF C - WOODLAWN HS,"20","60637",25.5550,"57"
4444 S EVANS AVE,Patricia R. Dowell,GRAND BOULEVARD,"9",Charter,ES,"6, 7, 8",41.8135473048999983802787028253078,-87.6084256224000057500234106555581,Charter,1(773)624-0700,"400078",U OF C - WOODSON,"3","60653",28.2371,"66"
4248 W 47TH ST,Edward M. Burke,ARCHER HEIGHTS,"8",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8101347873000008803501259535551,-87.7304951173999967295458191074431,Charter,1(773)579-3470 x222,"400079",UNO - ZIZUMBO,"14","60632",17.3336,"76"
4248 W 47TH ST,Edward M. Burke,ARCHER HEIGHTS,"8",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8081998068999993733996234368533,-87.7304504434000023138651158660650,Charter,1(773)579-3475,"400080",UNO - TORRES,"14","60632",17.8390,"86"
1641 W 16TH ST,Daniel S. Solis,LOWER WEST SIDE,"7",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8595040083000000663560058455914,-87.6679491695000052686737035401165,Charter,1(312)432-3224,"400081",UNO - DE LAS CASAS,"25","60608",12.1896,"130"
2845 W BARRY AVE,Deborah Mell,AVONDALE,"4",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9374757758999976431368850171566,-87.6995936513999936323671136051416,Charter,1(773)279-9826,"400082",UNO - FUENTES,"33","60618",15.6350,"132"
2651 W 23RD ST,Michael D. Chandler,SOUTH LAWNDALE,"7",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8500354131000023016895283944905,-87.6925508987000057459226809442043,Charter,1(773)890-1054,"400083",UNO - PAZ,"24","60608",17.1227,"97"
5135 S CALIFORNIA AVE,Edward M. Burke,GAGE PARK,"8",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7999301867000028209986339788884,-87.6938616353999975672195432707667,Charter,1(773)434-6355,"400084",UNO - TAMAYO,"14","60632",23.5019,"87"
4248 W 47TH ST,Edward M. Burke,ARCHER HEIGHTS,"8",Charter,HS,"9, 10, 11, 12",41.8091707900000031372655939776450,-87.7304668494000026157664251513779,Charter,1(773)579-3480 x225,"400085",UNO - GARCIA HS,"14","60632",18.3742,"82"
6201 S STEWART AVE,Willie B. Cochran,ENGLEWOOD,"11",Charter,HS,"9, 10, 11, 12",41.7814978166000017267833754885942,-87.6343566918999954395985696464777,Charter,1(773)535-9724,"400086",URBAN PREP - ENGLEWOOD HS,"20","60621",20.6847,"96"
2641 S CALUMET AVE,"William ""Will"" D. Burns",DOUGLAS,"9",Charter,HS,"8, 9, 10, 11, 12",41.8445438063999972655437886714935,-87.6187237963000029594695661216974,Charter,1(312)949-9400,"400087",YOUNG WOMENS HS,"4","60616",20.6551,"80"
2916 W 47TH ST,Toni L. Foulkes,BRIGHTON PARK,"8",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8083088245999974219557770993561,-87.6973940970000001016160240396857,Charter,1(773)321-2200,"400089",UNO - MARQUEZ,"15","60632",16.0506,"78"
1301 W 14TH ST,Daniel S. Solis,NEAR WEST SIDE,"6",Contract,HS,"9, 10, 11, 12",41.8633014090000017404236132279038,-87.6590948029000003316468792036176,Contract,1(773)534-7755,"400091",CHICAGO TECH HS,"25","60608",18.2384,"97"
13300 S LANGLEY AVE,Anthony A. Beale,RIVERDALE,"13",Charter,ES,"K, 1, 2, 3, 4, 5, 6",41.6536634501999998292376403696835,-87.6050391019000045389475417323411,Charter,1(773)468-1300,"400092",CICS - BOND,"9","60827",37.6742,"78"
8255 S HOUSTON AVE,Gregory Mitchell,SOUTH CHICAGO,"12",Charter,HS,"9, 10, 11, 12",41.7448491063999966854680678807199,-87.5502223695000054703996283933520,Charter,1(773)535-7930,"400094",EPIC HS,"7","60617",22.4080,"65"
1424 N CLEAVER ST,Bob Fioretti,WEST TOWN,"6",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9077971791000010171046596951783,-87.6640724684999952387443045154214,Charter,1(312)445-5870,"400096",ROWE,"2","60642",15.2734,"129"
2040 W ADAMS ST,"Walter Burnett, Jr.",NEAR WEST SIDE,"6",Charter,HS,"9, 10, 11, 12",41.8788088088000023390122805722058,-87.6781952596000024868772015906870,Charter,1(773)534-7599,"400097",NOBLE - BULLS HS,"27","60612",21.1319,"105"
1 N STATE ST,Brendan M. Reilly,LOOP,"6",Charter,HS,"9, 10, 11, 12",41.8827402578999965498951496556401,-87.6263382821999954330749460496008,Charter,1(312)445-4680,"400098",NOBLE - MUCHIN HS,"42","60602",6.8024,"149"
2744 W PERSHING RD,George A. Cardenas,BRIGHTON PARK,"8",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8228837412999965295057336334139,-87.6939961620000048014844651333988,Charter,1(312)376-8830,"400101",UNO - CISNEROS,"12","60632",17.2940,"101"
1326 W 14TH PL,Daniel S. Solis,NEAR WEST SIDE,"6",Charter,HS,"9, 10, 11, 12",41.8625400199999972983277984894812,-87.6601065405999975155282299965620,Charter,1(773)534-8860,"400102",URBAN PREP - WEST HS,"25","60608",16.5748,"106"
2520 S WESTERN AVE,Daniel S. Solis,LOWER WEST SIDE,"7",Charter,HS,"9, 10, 11, 12",41.8459665884999978402447595726699,-87.6872401587999945604678941890597,Charter,1(773)890-8020,"400104",INSTITUTO - HEALTH,"25","60608",13.9511,"77"
521 E 35TH ST,"William ""Will"" D. Burns",DOUGLAS,"9",Charter,HS,"9, 10, 11, 12",41.8311175317000021323110559023917,-87.6136286469999987502887961454690,Charter,1(773)495-0870,"400105",URBAN PREP - BRONZEVILLE HS,"4","60616",25.0736,"55"
6350 S STEWART AVE,Willie B. Cochran,ENGLEWOOD,"11",Charter,HS,"9, 10, 11, 12",41.7783694991000018603699572850019,-87.6351166982999956189814838580787,Charter,1(312)348-1888,"400106",NOBLE - JOHNSON HS,"20","60621",20.2120,"61"
8914 S BUFFALO AVE,Susie Sadlowski Garza,SOUTH CHICAGO,"12",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.7333331335999986322349286638200,-87.5455798928000064051957451738417,Charter,1(773)722-8577,"400107",LEARN - SOUTH CHICAGO,"10","60617",23.9000,"41"
1551 W 95TH ST,"Howard B. Brookins, Jr.",WASHINGTON HEIGHTS,"11",Charter,HS,"9, 10, 11, 12",41.7208632255999987137329299002886,-87.6623358227000011311247362755239,Options,1(773)341-2260,"400109",PROLOGUE - JOHNSTON HS,"21","60643",19.9936,"85"
1700 W 83RD ST,"Howard B. Brookins, Jr.",AUBURN GRESHAM,"11",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7",41.7431217708000019683822756633162,-87.6657210555000006024783942848444,Charter,1(773)722-0200,"400111",LEARN - PERKINS,"21","60620",11.3862,"46"
5050 S HOMAN AVE,Edward M. Burke,GAGE PARK,"8",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.8010424141999976654915371909738,-87.7087967842000040263883420266211,Charter,1(312)455-5450,"400112",UNO - SOCCER ELEM,"14","60632",27.3122,"52"
1443 N OGDEN AVE,"Walter Burnett, Jr.",NEAR NORTH SIDE,"4",Charter,HS,"6, 7, 8, 9, 10, 11, 12",41.9077967958999977327039232477546,-87.6455614996999941013200441375375,Charter,1(773)565-2100,"400113",CICS - CHICAGOQUEST HS,"27","60610",20.1048,"97"
2510 W CORTEZ ST,Proco (Joe) Moreno III,WEST TOWN,"5",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9003436352000022679931134916842,-87.6898956248000018831589841283858,Charter,1(312)455-5410,"400114",UNO - SANTIAGO,"1","60622",21.8505,"99"
6727 S CALIFORNIA AVE,Latasha R. Thomas,CHICAGO LAWN,"10",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",41.7709917190000012965356290806085,-87.6930753225999950473124044947326,Charter,1(773)993-1770,"400115",CATALYST - MARIA,"17","60629",30.1773,"25"
6936 S HERMITAGE AVE,Latasha R. Thomas,WEST ENGLEWOOD,"11",Charter,ES,"K, 1, 2, 3, 4, 5",41.7673901132000011671152606140822,-87.6676390084000018987353541888297,Charter,1(773)306-1759,"400116",MONTESSORI ENGLEWOOD,"17","60636",25.9190,"72"
8748 S ABERDEEN ST,"Howard B. Brookins, Jr.",AUBURN GRESHAM,"11",Charter,HS,"9, 10, 11, 12",41.7344416233000004012865247204900,-87.6509867278000029955364880152047,Charter,1(773)729-3400,"400117",NOBLE - HANSBERRY HS,"21","60620",26.9861,"64"
931 S HOMAN AVE,Michael D. Chandler,NORTH LAWNDALE,"5",Charter,HS,"9, 10, 11, 12",41.8693280772999969485681504011154,-87.7116542259000055992146371863782,Charter,1(773)893-4500,"400118",NOBLE - DRW HS,"24","60624",20.7248,"88"
4319 W WASHINGTON BLVD,Jason C. Ervin,WEST GARFIELD PARK,"5",Charter,HS,"9, 10, 11, 12",41.8817327591999983837922627571970,-87.7337783831000024292734451591969,Charter,1(773)922-7800,"400119",LEGAL PREP HS,"28","60612",20.1057,"79"
2050 N NATCHEZ AVE,Chris Taliaferro,BELMONT CRAGIN,"3",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",41.9179516797999980326494551263750,-87.7878304380000002993256202898920,Charter,1(312)455-5425,"400120",UNO - CLEMENTE,"29","60707",25.3685,"50"
7416 N RIDGE BLVD,Joe A. Moore,WEST RIDGE,"2",Charter,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11",42.0164758825000035358243621885777,-87.6844056814999959215128910727799,Charter,1(312)455-5440,"400121",UNO - ROGERS PARK,"49","60645",32.7994,"27"
4651 W MADISON ST,Jason C. Ervin,AUSTIN,"3",Charter,HS,"10, 11, 12",41.8804471880999997779326804447919,-87.7425388994000030606912332586944,Options,1(773)921-1315,"400123",YCCS - SCHOLASTIC ACHIEVEMENT,"28","60644",16.9991,"76"
2920 S WABASH AVE,Patricia R. Dowell,DOUGLAS,"9",Charter,HS,"10, 11, 12",41.8413311679000017306861991528422,-87.6253307701000068163921241648495,Options,1(312)949-5010,"400124",YCCS - MCKINLEY,"3","60616",25.8439,"56"
3121 N PULASKI RD,Ariel E. Reboyras,AVONDALE,"4",Charter,HS,"10, 11, 12",41.9381866032999965909766615368426,-87.7271373598999986143098794855177,Options,1(773)252-0970,"400125",YCCS - ASPIRA PANTOJA,"30","60641",10.6164,"112"
1116 N KEDZIE AVE,Roberto Maldonado,HUMBOLDT PARK,"5",Charter,HS,"10, 11",41.9015724074999980075517669320107,-87.7068598838000070827547460794449,Options,1(773)772-7170,"400126",YCCS - ASSOCIATION HOUSE,"26","60651",21.9442,"73"
5352 W CHICAGO AVE,Emma M. Mitts,AUSTIN,"3",Charter,HS,"10, 11, 12",41.8949763915000019665058061946183,-87.7602211755999945808071061037481,Options,1(773)626-6988,"400127",YCCS - AUSTIN CAREER,"37","60651",24.7949,"80"
1231 S PULASKI RD,Michael D. Chandler,NORTH LAWNDALE,"5",Charter,HS,"10, 11, 12",41.8649433527000027766007406171411,-87.7236621713999937810513074509799,Options,1(773)762-2272,"400128",YCCS - CCA ACADEMY,"24","60623",26.2740,"110"
6620 S DR MARTIN LUTHER KING JR DR,Willie B. Cochran,GREATER GRAND CROSSING,"9",Charter,HS,"10, 11, 12",41.7741695487000015418743714690208,-87.6158420988000017359809135086834,Options,1(773)723-9631,"400129",YCCS - HOUSTON,"20","60637",16.2389,"51"
7836 S UNION AVE,Roderick T. Sawyer,AUBURN GRESHAM,"11",Charter,HS,"10, 11, 12",41.7513771125999966216113534756005,-87.6417311863000065841333707794547,Options,1(773)224-2273,"400130",YCCS - YOUTH DEVELOPMENT,"6","60620",26.0147,"36"
2739 W DIVISION ST,Roberto Maldonado,WEST TOWN,"5",Charter,HS,"10, 11, 12",41.9028496980999989318661391735077,-87.6960060221999953000704408623278,Options,1(773)342-8022,"400131",YCCS - CAMPOS,"26","60622",20.7025,"88"
17 N. STATE ST.,Brendan M. Reilly,LOOP,"6",Charter,HS,"10, 11, 12",41.8830471723999977484709233976901,-87.6277341458000051943599828518927,Options,1(312)999-9360,"400133",YCCS - INNOVATIONS,"42","60602",6.3718,"144"
1814 S UNION AVE,James A. Balcer,LOWER WEST SIDE,"7",Charter,HS,"10, 11, 12",41.8572078568000023324202629737556,-87.6448879754999978786145220510662,Options,1(312)563-1748,"400134",YCCS - ADDAMS,"11","60616",15.5710,"163"
2001 S CALIFORNIA AVE,George A. Cardenas,SOUTH LAWNDALE,"7",Charter,HS,"10, 11, 12",41.8546646563000024343637051060796,-87.6954300138000064634979935362935,Options,1(773)648-2130,"400135",YCCS - LATINO YOUTH,"12","60608",18.9242,"86"
10001 S WOODLAWN AVE,Michelle A. Harris,PULLMAN,"12",Charter,HS,"10, 11",41.7129221006999983956120559014380,-87.5923332025000007661219569854438,Options,1(773)291-6517,"400136",YCCS - OLIVE HARVEY,"8","60628",14.7604,"21"
